## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\social_stim\soc_002-[b3d6a544-86ff-41a2-94fd-602cf00fc08c]\soc_002-eye_data.idf
## Date:	14.03.2016 13:02:50
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4878                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	soc_002                                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
1252203715	SMP	1	422.76	277.19	0	0	Faces_Pure_1_low.avi
1252237083	SMP	1	430.81	271.77	0	0	Faces_Pure_1_low.avi
1252270371	SMP	1	429.05	246.3	0	0	Faces_Pure_1_low.avi
1252303752	SMP	1	426.79	243.28	0	0	Faces_Pure_1_low.avi
1252337009	SMP	1	426.75	236.4	0	0	Faces_Pure_1_low.avi
1252370337	SMP	1	425.29	248.37	0	0	Faces_Pure_1_low.avi
1252403666	SMP	1	429.36	248.58	0	0	Faces_Pure_1_low.avi
1252437014	SMP	1	430.92	287.35	0	0	Faces_Pure_1_low.avi
1252470330	SMP	1	426.56	273	0	0	Faces_Pure_1_low.avi
1252503669	SMP	1	431.68	244.93	0	0	Faces_Pure_1_low.avi
1252536990	SMP	1	435.11	238.64	0	0	Faces_Pure_1_low.avi
1252570332	SMP	1	436.42	241.39	0	0	Faces_Pure_1_low.avi
1252603651	SMP	1	437.78	287.04	0	0	Faces_Pure_1_low.avi
1252636993	SMP	1	442.41	245.32	0	0	Faces_Pure_1_low.avi
1252670330	SMP	1	447.45	299.56	0	0	Faces_Pure_1_low.avi
1252703762	SMP	1	454.43	265.79	0	0	Faces_Pure_1_low.avi
1252736954	SMP	1	0	0	683.87	427.76	Faces_Pure_1_low.avi
1252770293	SMP	1	868.59	168.89	0	0	Faces_Pure_1_low.avi
1252803621	SMP	1	946.17	201.75	0	0	Faces_Pure_1_low.avi
1252836991	SMP	1	965.11	174.17	0	0	Faces_Pure_1_low.avi
1252870290	SMP	1	964.81	143.79	0	0	Faces_Pure_1_low.avi
1252903668	SMP	1	976.46	140.16	0	0	Faces_Pure_1_low.avi
1252936970	SMP	1	978.09	141.5	0	0	Faces_Pure_1_low.avi
1252970286	SMP	1	977.38	168.73	0	0	Faces_Pure_1_low.avi
1253003700	SMP	1	978.46	156.75	0	0	Faces_Pure_1_low.avi
1253036964	SMP	1	980.3	167.66	0	0	Faces_Pure_1_low.avi
1253070282	SMP	1	978.24	219.75	0	0	Faces_Pure_1_low.avi
1253103730	SMP	1	975.21	164.81	0	0	Faces_Pure_1_low.avi
1253136923	SMP	1	978.71	163.15	0	0	Faces_Pure_1_low.avi
1253170250	SMP	1	979.6	158.54	0	0	Faces_Pure_1_low.avi
1253203583	SMP	1	979.47	163.22	0	0	Faces_Pure_1_low.avi
1253236987	SMP	1	980.81	162.01	0	0	Faces_Pure_1_low.avi
1253270248	SMP	1	1060.16	96.74	0	0	Faces_Pure_1_low.avi
1253303589	SMP	1	1155.66	-11.28	0	0	Faces_Pure_1_low.avi
1253336919	SMP	1	1176.14	-0.55	0	0	Faces_Pure_1_low.avi
1253370247	SMP	1	1180.21	-7.83	0	0	Faces_Pure_1_low.avi
1253403583	SMP	1	1181.77	4.87	0	0	Faces_Pure_1_low.avi
1253436909	SMP	1	1191.04	-5.91	0	0	Faces_Pure_1_low.avi
1253470243	SMP	1	1199.99	-1.84	0	0	Faces_Pure_1_low.avi
1253503554	SMP	1	1204.62	-5.51	1209.35	-97.92	Faces_Pure_1_low.avi
1253536870	SMP	1	1204.15	-8.15	0	0	Faces_Pure_1_low.avi
1253570216	SMP	1	1200.55	-14.1	0	0	Faces_Pure_1_low.avi
1253603540	SMP	1	1203.16	-17.77	0	0	Faces_Pure_1_low.avi
1253636877	SMP	1	1005.51	181.23	0	0	Faces_Pure_1_low.avi
1253670211	SMP	1	665.89	488.66	0	0	Faces_Pure_1_low.avi
1253703548	SMP	1	586.73	478	0	0	Faces_Pure_1_low.avi
1253736881	SMP	1	656.91	480.22	0	0	Faces_Pure_1_low.avi
1253770205	SMP	1	634.27	480.41	0	0	Faces_Pure_1_low.avi
1253803531	SMP	1	614.97	538.58	0	0	Faces_Pure_1_low.avi
1253836875	SMP	1	630.55	512.27	0	0	Faces_Pure_1_low.avi
1253870202	SMP	1	0	0	641.66	446.28	Faces_Pure_1_low.avi
1253903536	SMP	1	0	0	611.67	470.07	Faces_Pure_1_low.avi
1253936830	SMP	1	0	0	610.3	614.57	Faces_Pure_1_low.avi
1253970170	SMP	1	0	0	609.93	538.12	Faces_Pure_1_low.avi
1254003495	SMP	1	0	0	594.33	503.2	Faces_Pure_1_low.avi
1254036869	SMP	1	0	0	608.37	473.33	Faces_Pure_1_low.avi
1254070159	SMP	1	0	0	599.22	547.31	Faces_Pure_1_low.avi
1254103492	SMP	1	0	0	587.5	479.52	Faces_Pure_1_low.avi
1254136837	SMP	1	0	0	482.06	473.42	Faces_Pure_1_low.avi
1254170158	SMP	1	0	0	460.7	466.73	Faces_Pure_1_low.avi
1254203497	SMP	1	0	0	470.48	429.85	Faces_Pure_1_low.avi
1254236913	SMP	1	0	0	473.45	468.84	Faces_Pure_1_low.avi
1254270155	SMP	1	0	0	469.24	465.11	Faces_Pure_1_low.avi
1254303526	SMP	1	0	0	477.66	452.1	Faces_Pure_1_low.avi
1254336778	SMP	1	0	0	469.3	445.71	Faces_Pure_1_low.avi
1254370126	SMP	1	0	0	468.52	454.09	Faces_Pure_1_low.avi
1254403454	SMP	1	0	0	468.04	430.38	Faces_Pure_1_low.avi
1254436799	SMP	1	0	0	458.79	438.98	Faces_Pure_1_low.avi
1254470118	SMP	1	0	0	455.54	428.31	Faces_Pure_1_low.avi
1254503526	SMP	1	0	0	450.82	427.86	Faces_Pure_1_low.avi
1254536776	SMP	1	0	0	459.92	427.18	Faces_Pure_1_low.avi
1254570128	SMP	1	0	0	460.42	418.48	Faces_Pure_1_low.avi
1254603444	SMP	1	0	0	454.77	413.87	Faces_Pure_1_low.avi
1254636784	SMP	1	0	0	460.92	429.55	Faces_Pure_1_low.avi
1254670116	SMP	1	0	0	455.56	415.19	Faces_Pure_1_low.avi
1254703476	SMP	1	0	0	453.26	417.48	Faces_Pure_1_low.avi
1254736743	SMP	1	0	0	452.85	424.9	Faces_Pure_1_low.avi
1254770082	SMP	1	0	0	454.03	408.23	Faces_Pure_1_low.avi
1254803413	SMP	1	0	0	457.31	414.31	Faces_Pure_1_low.avi
1254836754	SMP	1	0	0	457.9	415.67	Faces_Pure_1_low.avi
